Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
55467800,That Summer,Jennifer Weiner,"Weiner, Jennifer",,1501133543,9781501133541,0,4.03,Atria Books,Hardcover,432,2021,2021,,5/3/2021,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
55429079,Furia,Yamile Saied Méndez,"Méndez, Yamile Saied",,1616209917,9781616209919,3,4.27,Algonquin Young Readers,Hardcover,368,2020,2020,4/28/2021,4/2/2021,,,read,,,,1,,,0,,,,,
53922338,Group: How One Therapist and a Circle of Strangers Saved My Life,Christie Tate,"Tate, Christie",,,,5,3.76,,Kindle Edition,,2020,2020,4/27/2021,4/20/2021,,,read,,,,1,,,0,,,,,
56056277,The Sanatorium,Sarah  Pearse,"Pearse, Sarah",,,,5,3.44,Pamela Dorman Books,Kindle Edition,400,2021,2021,2/13/2021,2/9/2021,,,read,,,,1,,,0,,,,,
57650174,Northern Spy,Flynn Berry,"Berry, Flynn",,0735224994,9780735224995,3,3.78,Viking,Hardcover,288,2021,2021,4/20/2021,4/15/2021,,,read,,,,1,,,0,,,,,
48710236,Paris is Always a Good Idea,Jenn McKinlay,"McKinlay, Jenn",,0593101359,9780593101353,0,3.79,Berkley Books,Paperback,334,2020,2020,,4/19/2021,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
49083252,The Lost Apothecary,Sarah Penner,"Penner, Sarah",,,,4,3.86,Park Row Books/HarperCollins,Kindle Edition,320,2021,2021,4/17/2021,3/1/2021,,,read,,,,1,,,0,,,,,
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,0765387565,9780765387561,4,4.3,Tor Books,Hardcover,448,2020,2020,2/26/2021,10/29/2020,,,read,,,,1,,,0,,,,,
52029910,The Lying Game,Ruth Ware,"Ware, Ruth",,,,4,3.54,Gallery/Scout Press,Kindle Edition,480,2020,2017,3/30/2021,3/25/2021,,,read,,,,1,,,0,,,,,
53568397,The Midnight Library,Matt Haig,"Haig, Matt",,,,4,4.16,Viking ,Kindle Edition,289,2020,2020,3/17/2021,3/14/2021,,,read,,,,1,,,0,,,,,
